Approved Symbol	Approved Name	Aliases	Entrez Gene ID (mapped data supplied by NCBI)	Ensembl ID (mapped data supplied by Ensembl)
ZNF645	zinc finger protein 645	FLJ25735, HAKAIL	158506	ENSG00000175809
DNMBP-AS1	DNMBP antisense RNA 1 (non-protein coding)	FLJ40792, bA287G8.2	100188954	ENSG00000227695
RPL29P29	ribosomal protein L29 pseudogene 29		100271474	ENSG00000225289
NCEH1	neutral cholesterol ester hydrolase 1	KIAA1363, NCEH	57552	ENSG00000144959
DISC2	disrupted in schizophrenia 2 (non-protein coding)	DISC1OS, NCRNA00015	27184	
SLC16A10	solute carrier family 16, member 10 (aromatic amino acid transporter)	TAT1	117247	ENSG00000112394
SRSF7	serine/arginine-rich splicing factor 7	9G8, ZCRB2, HSSG1, AAG3, RBM37, ZCCHC20	6432	ENSG00000115875
TRNAG9	transfer RNA glycine 9 (anticodon UCC)		100189039	
NBR1	neighbor of BRCA1 gene 1	CA125, KIAA0049, 1A1-3B	4077	ENSG00000188554
RPUSD1	RNA pseudouridylate synthase domain containing 1	RLUCL, MGC19600	113000	ENSG00000007376
LEF1	lymphoid enhancer-binding factor 1	TCF1ALPHA, TCF10, TCF7L3	51176	ENSG00000138795
E2F3P1	E2F transcription factor 3 pseudogene 1		1872	
MAP7D1	MAP7 domain containing 1	FLJ10350, FLJ39022	55700	ENSG00000116871
ASH1L-IT1	ASH1L intronic transcript 1 (non-protein coding)			ENSG00000227773
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	PSF1, RING4, D6S114E	6890	
IL3RA	interleukin 3 receptor, alpha (low affinity)	CD123	3563	ENSG00000185291
NOVA2	neuro-oncological ventral antigen 2	ANOVA	4858	ENSG00000104967
MZT2B	mitotic spindle organizing protein 2B	FLJ14346, MOZART2B	80097	ENSG00000152082
POF1B	premature ovarian failure, 1B	POF, FLJ22792	79983	ENSG00000124429
CYS1	cystin 1		192668	ENSG00000205795
ADAMTSL5	ADAMTS-like 5		339366	ENSG00000185761
USP32P2	ubiquitin specific peptidase 32 pseudogene 2	TL132	220594	
SRP72	signal recognition particle 72kDa		6731	ENSG00000174780
DALRD3	DALR anticodon binding domain containing 3	FLJ10496	55152	ENSG00000178149
EYS	eyes shut homolog (Drosophila)	dJ1018A4.2, bA166P24.2, SPAM, bA307F22.3, dJ303F19.1, bA74E24.1	346007	ENSG00000188107
MIR3184	microRNA 3184	hsa-mir-3184	100423003	
MRP63P6	mitochondrial ribosomal protein 63 pseudogene 6		134490	
ALDOAP1	aldolase A, fructose-bisphosphate pseudogene 1		391538	ENSG00000242849
PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1	TPT, COQ1	23590	ENSG00000148459
ABCB10P1	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	M-ABC2, MABC2	56476	
WBP4	WW domain binding protein 4 (formin binding protein 21)	FBP21, MGC117310	11193	ENSG00000120688
FTHL17	ferritin, heavy polypeptide-like 17	CT38	53940	ENSG00000132446
TGIF2LX	TGFB-induced factor homeobox 2-like, X-linked		90316	ENSG00000153779
UTP14C	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)	2700066J21Rik	9724	ENSG00000253797
RPL17P7	ribosomal protein L17 pseudogene 7		100132742	
TRBV4-2	T cell receptor beta variable 4-2	TRBV42, TCRBV4S2, TCRBV7S3A2T	28616	ENSG00000211745
TRIM49L1	tripartite motif containing 49-like 1		729384	ENSG00000233802
RPS15AP31	ribosomal protein S15a pseudogene 31		100271652	
HSPD1P4	heat shock 60kDa protein 1 (chaperonin) pseudogene 4	HSPD1-5P	644745	
STRN4	striatin, calmodulin binding protein 4	zinedin, ZIN	29888	ENSG00000090372
HNRNPA3P2	heterogeneous nuclear ribonucleoprotein A3 pseudogene 2	dJ977B1.2	170526	ENSG00000227688
NMBR	neuromedin B receptor		4829	ENSG00000135577
PMFBP1	polyamine modulated factor 1 binding protein 1		83449	ENSG00000118557
ZNF642	zinc finger protein 642	FLJ16030, Zfp69	339559	ENSG00000187815
GPR1	G protein-coupled receptor 1		2825	ENSG00000183671
PGAM1P3	phosphoglycerate mutase 1 pseudogene 3			ENSG00000230274
HBE1	hemoglobin, epsilon 1	HBE	3046	ENSG00000213931
LAMP1P1	lysosomal-associated membrane protein 1 pseudogene 1		100421198	
ZBTB26	zinc finger and BTB domain containing 26		57684	ENSG00000171448
PAGE2	P antigen family, member 2 (prostate associated)	MGC62094, PAGE-2, CT16.4	203569	ENSG00000234068
TMX4	thioredoxin-related transmembrane protein 4	DJ971N18.2, KIAA1162, PDIA14	56255	ENSG00000125827
DFNB44	deafness, autosomal recessive 44		449484	
KCTD17	potassium channel tetramerisation domain containing 17	FLJ12242	79734	ENSG00000100379
ASS1P12	argininosuccinate synthetase 1 pseudogene 12		392302	ENSG00000237437
SIRPB2	signal-regulatory protein beta 2	dJ776F14.2	284759	ENSG00000196209
ZNF273	zinc finger protein 273	HZF9	10793	ENSG00000198039
GSM1	geniospasm 1		2933	
IRF3	interferon regulatory factor 3		3661	ENSG00000126456
IGHVIII-76-1	immunoglobulin heavy variable (III)-76-1 (pseudogene)	IGHV(III)-76-1	28339	ENSG00000253310
NEK2P4	NEK2 pseudogene 4		100381202	ENSG00000230450
SNORD58C	small nucleolar RNA, C/D box 58C		100124516	ENSG00000202093
DIRAS2	DIRAS family, GTP-binding RAS-like 2	Di-Ras2, DKFZp761C07121	54769	ENSG00000165023
RPS24P10	ribosomal protein S24 pseudogene 10		100271097	
RPL31P47	ribosomal protein L31 pseudogene 47		100271481	ENSG00000233541
DFNA51	deafness, autosomal dominant 51		286750	
TCEB2P3	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) pseudogene 3			ENSG00000232285
RPL21P82	ribosomal protein L21 pseudogene 82		650059	
MIR548Q	microRNA 548q	hsa-mir-548q	100313841	ENSG00000221331
RAD21L1	RAD21-like 1 (S. pombe)	dJ545L17.2, RAD21L	642636	ENSG00000244588
TUBB1P2	tubulin, beta 1 pseudogene 2		140004	ENSG00000228578
EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	p220	1981	ENSG00000114867
TSPAN11	tetraspanin 11		441631	ENSG00000110900
TXNRD3NB	thioredoxin reductase 3 neighbor	TR2IT1, TXNRD3NT1	645840	ENSG00000206483
UBASH3A	ubiquitin associated and SH3 domain containing A	STS-2, TULA, CLIP4	53347	ENSG00000160185
RPL5P16	ribosomal protein L5 pseudogene 16		100270837	
VIPR1	vasoactive intestinal peptide receptor 1	VPAC1, RDC1, HVR1, VPAC1R	7433	ENSG00000114812
LRRTM2	leucine rich repeat transmembrane neuronal 2	KIAA0416	26045	ENSG00000146006
CTSC	cathepsin C	DPP1	1075	ENSG00000109861
SLC25A13	solute carrier family 25, member 13 (citrin)	CITRIN, ARALAR2	10165	ENSG00000004864
C3CER1	chromosome 3 common eliminated region 1	CER1	23739	
NUP54	nucleoporin 54kDa		53371	ENSG00000138750
DHRSX-IT1	DHRSX intronic transcript 1 (non-protein coding)	DHRSX-IT		ENSG00000223571
VN1R72P	vomeronasal 1 receptor 72 pseudogene		100312853	
SPIN3	spindlin family, member 3		169981	ENSG00000204271
VN1R53P	vomeronasal 1 receptor 53 pseudogene		100312806	ENSG00000236313
TMEM217	transmembrane protein 217	dJ355M6.2	221468	ENSG00000172738
TRAV14DV4	T cell receptor alpha variable 14/delta variable 4	TRAV14/DV4, TCRAV6S1-hDV104S1, hADV14S1	28669	
CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	DKFZp761M0423, CAMKKA, MGC34095	84254	ENSG00000004660
MIR639	microRNA 639	hsa-mir-639	693224	ENSG00000207707
TSPEAR	thrombospondin-type laminin G domain and EAR repeats	MGC11251, TSP-EAR	54084	ENSG00000175894
ZNF280C	zinc finger protein 280C	FLJ20095, ZNF633	55609	ENSG00000056277
MIR1276	microRNA 1276	hsa-mir-1276	100302121	ENSG00000221634
MIR4520A	microRNA 4520a	hsa-mir-4520a	100616401	
OR5C1	olfactory receptor, family 5, subfamily C, member 1	OR9-F, hRPK-465_F_21	392391	ENSG00000148215
FAM195B	family with sequence similarity 195, member B		348262	ENSG00000225663
LINC00086	long intergenic non-protein coding RNA 86	MGC39606	399668	ENSG00000178947
RAB8B	RAB8B, member RAS oncogene family		51762	ENSG00000166128
ARL2BPP2	ADP-ribosylation factor-like 2 binding protein pseudogene 2	bcm1040	643898	
TNPO1	transportin 1	MIP, TRN, IPO2, MIP1	3842	ENSG00000083312
EID2B	EP300 interacting inhibitor of differentiation 2B	EID-3, FLJ38944	126272	ENSG00000176401
RPL13P2	ribosomal protein L13 pseudogene 2	dJ599F21.2	128500	ENSG00000213820
FLOT1	flotillin 1		10211	
MIR5690	microRNA 5690	hsa-mir-5690		
RNY3P3	RNA, Ro-associated Y3 pseudogene 3			ENSG00000200686
CAND1	cullin-associated and neddylation-dissociated 1	TIP120A, DKFZp434M1414, KIAA0829, TIP120	55832	ENSG00000111530
CFL1	cofilin 1 (non-muscle)		1072	ENSG00000172757
IER2	immediate early response 2	ETR101	9592	ENSG00000160888
RPL26P22	ribosomal protein L26 pseudogene 22		643101	
DACT1	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	DAPPER1, THYEX3, HDPR1, DAPPER, FRODO	51339	ENSG00000165617
PNPLA8	patatin-like phospholipase domain containing 8	IPLA2G, IPLA2-2, IPLA2(GAMMA)	50640	ENSG00000135241
C2orf19	chromosome 2 open reading frame 19		394261	
STK33	serine/threonine kinase 33		65975	ENSG00000130413
GAD1	glutamate decarboxylase 1 (brain, 67kDa)		2571	ENSG00000128683
CSNK1A1	casein kinase 1, alpha 1	CK1	1452	ENSG00000113712
EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	CD312	30817	ENSG00000127507
IGF2	insulin-like growth factor 2 (somatomedin A)	FLJ44734	3481	ENSG00000167244
PPIA	peptidylprolyl isomerase A (cyclophilin A)	CYPA	5478	ENSG00000196262
TRNAG24	transfer RNA glycine 24 (anticodon UCC)		100189260	
RNU7-81P	RNA, U7 small nuclear 81 pseudogene	U7.81	100151678	ENSG00000252507
SNORD113-3	small nucleolar RNA, C/D box 113-3	14q(I-3)	767563	ENSG00000201700
EEF1A1P37	eukaryotic translation elongation factor 1 alpha 1 pseudogene 37		100421825	
TAAR1	trace amine associated receptor 1	TAR1, TA1	134864	ENSG00000146399
PDE3A	phosphodiesterase 3A, cGMP-inhibited	CGI-PDE	5139	ENSG00000172572
KERA	keratocan	SLRR2B	11081	ENSG00000139330
IQCG	IQ motif containing G	DKFZp434B227	84223	ENSG00000114473
EFHA2	EF-hand domain family, member A2	DKFZp313A0139	286097	ENSG00000155970
MIR1302-7	microRNA 1302-7	hsa-mir-1302-7	100302147	
HYAL3	hyaluronoglucosaminidase 3	LUCA-3, LUCA14, Minna14	8372	ENSG00000186792
STXBP5L	syntaxin binding protein 5-like	KIAA1006, LLGL4	9515	ENSG00000145087
RPL21P129	ribosomal protein L21 pseudogene 129		100271451	
FUBP3	far upstream element (FUSE) binding protein 3		8939	ENSG00000107164
RP29	retinitis pigmentosa 29 (autosomal recessive)		54110	
PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma	FLJ22055	79837	ENSG00000166908
INPP5K	inositol polyphosphate-5-phosphatase K	SKIP	51763	ENSG00000132376
SNORD73A	small nucleolar RNA, C/D box 73A	U73a, RNU73A	8944	ENSG00000208797
RNF126P1	ring finger protein 126 pseudogene 1		376412	
XYLT2	xylosyltransferase II	XT-II, PXYLT2	64132	ENSG00000015532
ITGAW	integrin, alpha W		3686	
HBXIPP1	hepatitis B virus x interacting protein pseudogene 1	HBXIPL		ENSG00000236646
TNRC18	trinucleotide repeat containing 18	CAGL79, TNRC18A, KIAA1856	84629	ENSG00000182095
MTND4P4	MT-ND4 pseudogene 4			ENSG00000225295
GAS8	growth arrest-specific 8		2622	ENSG00000141013
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC-C, EST111653, LBM180	21	ENSG00000167972
NOP14	NOP14 nucleolar protein homolog (yeast)	RES4-25, UTP2	8602	ENSG00000087269
IGHV3-66	immunoglobulin heavy variable 3-66		28412	ENSG00000211972
RPL18P7	ribosomal protein L18 pseudogene 7		100270945	
ZBTB8OSP2	zinc finger and BTB domain containing 8 opposite strand pseudogene 2		729898	ENSG00000172799
AP3S1	adaptor-related protein complex 3, sigma 1 subunit		1176	ENSG00000177879
MIR448	microRNA 448	hsa-mir-448	554212	ENSG00000199001
ADORA2B	adenosine A2b receptor		136	ENSG00000170425
FSD2	fibronectin type III and SPRY domain containing 2	RP11-127F21	123722	ENSG00000186628
ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	FLJ29027, CD298	483	ENSG00000069849
RPL18AP16	ribosomal protein L18a pseudogene 16		347544	
DEFA7P	defensin, alpha 7 pseudogene		724067	ENSG00000206042
DLGAP1	discs, large (Drosophila) homolog-associated protein 1	GKAP, SAPAP1, DAP-1	9229	ENSG00000170579
MCDR3	macular dystrophy, retinal 3		317668	
LIN28A	lin-28 homolog A (C. elegans)	LIN-28, FLJ12457, ZCCHC1, CSDD1	79727	ENSG00000131914
RIMKLBP1	ribosomal modification protein rimK-like family member B pseudogene 1		54031	ENSG00000189089
ARSD	arylsulfatase D		414	ENSG00000006756
FAM8A6P	family with sequence similarity 8, member A6 pseudogene		114182	ENSG00000218772
SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	ETL1, DKFZP762K2015, KIAA1122, DKFZp762K2015	56916	ENSG00000163104
MRAP2	melanocortin 2 receptor accessory protein 2	bA51G5.2	112609	ENSG00000135324
WT1-AS	WT1 antisense RNA (non-protein coding)	WIT-1, WT1-AS1	51352	ENSG00000183242
MIR3649	microRNA 3649	hsa-mir-3649	100500816	
ENO2	enolase 2 (gamma, neuronal)		2026	ENSG00000111674
BTBD11	BTB (POZ) domain containing 11	FLJ33957	121551	ENSG00000151136
RPS3AP25	ribosomal protein S3a pseudogene 25		645968	
PIGA	phosphatidylinositol glycan anchor biosynthesis, class A	GPI3	5277	ENSG00000165195
CSE1L	CSE1 chromosome segregation 1-like (yeast)	CAS, XPO2, CSE1	1434	ENSG00000124207
DOCK6	dedicator of cytokinesis 6	KIAA1395, ZIR1	57572	ENSG00000130158
MOXD2P	monooxygenase, DBH-like 2, pseudogene		100289017	ENSG00000240268
SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2	KIAA-iso	51188	ENSG00000008324
CXCR7	chemokine (C-X-C motif) receptor 7	RDC1, GPR159	57007	ENSG00000144476
SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	API, ALPHA-2-PI, A2AP, AAP	5345	ENSG00000167711
FAM24A	family with sequence similarity 24, member A	AC073585.4	118670	ENSG00000203795
LINC00174	long intergenic non-protein coding RNA 174		285908	ENSG00000179406
SLC39A9	solute carrier family 39 (zinc transporter), member 9	FLJ11274	55334	ENSG00000029364
CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	GALNACT2, MGC40204, PRO0082, GALNACT-2	55454	ENSG00000169826
HAND2	heart and neural crest derivatives expressed 2	dHand, Thing2, Hed, bHLHa26	9464	ENSG00000164107
GRHL1	grainyhead-like 1 (Drosophila)	LBP-32, MGR	29841	ENSG00000134317
RPS3AP42	ribosomal protein S3a pseudogene 42		100271597	ENSG00000244244
IRS3P	insulin receptor substrate 3, pseudogene		442338	
MIR5190	microRNA 5190	hsa-mir-5190		
FRA8B	fragile site, aphidicolin type, common, fra(8)(q22.1)		2419	
PELI2	pellino homolog 2 (Drosophila)		57161	ENSG00000139946
UGT2A2	UDP glucuronosyltransferase 2 family, polypeptide A2		574537	
MIR3156-2	microRNA 3156-2	hsa-mir-3156-2	100422907	
CMYA5	cardiomyopathy associated 5	myospryn, SPRYD2, DKFZp451G223, TRIM76	202333	ENSG00000164309
MEP1B	meprin A, beta		4225	ENSG00000141434
LYPLA1	lysophospholipase I	LPL1	10434	ENSG00000120992
UBE2L6	ubiquitin-conjugating enzyme E2L 6	UBCH8	9246	ENSG00000156587
RPL12	ribosomal protein L12	L12	6136	ENSG00000197958
RPL39P9	ribosomal protein L39 pseudogene 9		100270894	
KIF17	kinesin family member 17	KIAA1405, KIF3X, KIF17B	57576	ENSG00000117245
RNASE12	ribonuclease, RNase A family, 12 (non-active)		493901	ENSG00000206171
TCF20	transcription factor 20 (AR1)	AR1, SPBP	6942	ENSG00000100207
CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	Cav1.1, hypoPP	779	ENSG00000081248
WDR16	WD repeat domain 16	WDRPUH, FLJ37528	146845	ENSG00000166596
RN5S61	RNA, 5S ribosomal 61			
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2		3613	ENSG00000141401
MZT1	mitotic spindle organizing protein 1	LOC440145, FLJ21869, MGC150539, RP11-11C5.2, MOZART1	440145	ENSG00000204899
GPR112	G protein-coupled receptor 112	RP1-299I16, PGR17	139378	ENSG00000156920
HOOK3	hook homolog 3 (Drosophila)	HK3	84376	ENSG00000168172
SRSF10	serine/arginine-rich splicing factor 10	TASR1, TASR2, SRp38, SRrp40, SFRS13, NSSR	10772	ENSG00000188529
PAPPA	pregnancy-associated plasma protein A, pappalysin 1	PAPP-A, PAPPA1, IGFBP-4ase, PAPA, ASBABP2, DIPLA1	5069	ENSG00000182752
CREB3L4	cAMP responsive element binding protein 3-like 4	AIbZIP, CREB4, CREB3, hJAL, ATCE1	148327	ENSG00000143578
RPL10AP6	ribosomal protein L10a pseudogene 6		100128936	ENSG00000226360
DFNA32	deafness, autosomal dominant 32		94138	
TRDV3	T cell receptor delta variable 3	hDV103S1	28516	ENSG00000256590
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	CELIAC1	3117	
DUX4L8	double homeobox 4 like 8 (pseudogene)		100287020	ENSG00000250537
NEXN-AS1	NEXN antisense RNA 1 (non-protein coding)	FLJ90637	374987	ENSG00000235927
UBE4A	ubiquitination factor E4A	UBOX2, UFD2, KIAA0126, E4	9354	ENSG00000110344
BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)	BRCC45, BRCC4	9577	ENSG00000158019
MTND2P9	MT-ND2 pseudogene 9			ENSG00000225901
RPL41P1	ribosomal protein L41 pseudogene 1		22971	ENSG00000227063
BCAS2P2	breast carcinoma amplified sequence 2 pseudogene 2		100421045	ENSG00000234332
DDR2	discoidin domain receptor tyrosine kinase 2	TKT	4921	ENSG00000162733
IGHV3OR16-16	immunoglobulin heavy variable 3/OR16-16 (pseudogene)	IGHV3/OR16-16	28300	
MIR1293	microRNA 1293	hsa-mir-1293	100302220	ENSG00000221604
COL25A1	collagen, type XXV, alpha 1		84570	ENSG00000188517
NKX2-1	NK2 homeobox 1	TTF-1, TTF1	7080	ENSG00000136352
PRYP4	PTPN13-like, Y-linked pseudogene 4		442866	ENSG00000172283
CTSA	cathepsin A		5476	ENSG00000064601
IWS1	IWS1 homolog (S. cerevisiae)	DKFZp761G0123, FLJ10006, FLJ14655, FLJ32319	55677	ENSG00000163166
SNX18P13	sorting nexin 18 pseudogene 13		100419042	ENSG00000230965
DEFB133	defensin, beta 133		403339	ENSG00000214643
MT-TD	mitochondrially encoded tRNA aspartic acid	trnD	4555	
DES	desmin	CMD1I, CSM1, CSM2	1674	ENSG00000175084
GNL3	guanine nucleotide binding protein-like 3 (nucleolar)	C77032, E2IG3, MGC800, NS, nucleostemin	26354	ENSG00000163938
CALCOCO2	calcium binding and coiled-coil domain 2	MGC17318, NDP52	10241	ENSG00000136436
ZFYVE28	zinc finger, FYVE domain containing 28	KIAA1643	57732	ENSG00000159733
DGKD	diacylglycerol kinase, delta 130kDa	KIAA0145, DGKdelta	8527	ENSG00000077044
OFD1P4Y	OFD1 pseudogene 4, Y-linked		386688	ENSG00000229406
RNPS1P1	RNA binding protein S1, serine-rich domain pseudogene 1			ENSG00000250896
HMGN1	high mobility group nucleosome binding domain 1	FLJ27265, FLJ31471, MGC104230, MGC117425	3150	ENSG00000205581
MFSD6L	major facilitator superfamily domain containing 6-like	FLJ35773	162387	ENSG00000185156
ZNF816-ZNF321P	ZNF816-ZNF321P readthrough		100529240	ENSG00000213801
FAM108A5P	family with sequence similarity 108, member A5, pseudogene		729495	ENSG00000229107
MTA1	metastasis associated 1		9112	ENSG00000182979
IGHV1-F	immunoglobulin heavy variable 1-F (provisional)	IGHV1-f	28458	
TCEB1P8	transcription elongation factor B (SIII), polypeptide 1 pseudogene 8		100462869	ENSG00000234131
FMR3	fragile X mental retardation associated 3		56247	
PMVK	phosphomevalonate kinase	PMK, PMKA, HUMPMKI	10654	ENSG00000163344
PRR5-ARHGAP8	PRR5-ARHGAP8 readthrough		553158	ENSG00000248405
LINC00457	long intergenic non-protein coding RNA 457			
HSFX1	heat shock transcription factor family, X linked 1	LW-1	100506164	ENSG00000171116
MTND5P5	MT-ND5 pseudogene 5			ENSG00000251149
AMHR2	anti-Mullerian hormone receptor, type II	MISR2, MISRII	269	ENSG00000135409
HTL	high L-leucine transport	LEUT	3343	
KAT7	K(lysine) acetyltransferase 7	HBOA, HBO1	11143	ENSG00000136504
RNR4	RNA, ribosomal 4		6055	
FAM176B	family with sequence similarity 176, member B	FLJ10647	55194	ENSG00000142694
CACNA1C-IT1	CACNA1C intronic transcript 1 (non-protein coding)			ENSG00000256837
VN1R68P	vomeronasal 1 receptor 68 pseudogene		100131688	
G6PC2	glucose-6-phosphatase, catalytic, 2	IGRP	57818	ENSG00000152254
RPS26P35	ribosomal protein S26 pseudogene 35		441377	ENSG00000242206
OAS2	2'-5'-oligoadenylate synthetase 2, 69/71kDa		4939	ENSG00000111335
B4GALNT3	beta-1,4-N-acetyl-galactosaminyl transferase 3	B4GalNac-T3, FLJ16224, FLJ40362	283358	ENSG00000139044
DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A		1859	ENSG00000157540
MIR3685	microRNA 3685	hsa-mir-3685	100500802	
MIR579	microRNA 579	hsa-mir-579	693164	ENSG00000207956
MTND2P4	MT-ND2 pseudogene 4			ENSG00000230252
CERS3	ceramide synthase 3	MGC27091	204219	ENSG00000154227
TLE1P1	transducin-like enhancer of split 1 pseudogene 1		645381	ENSG00000228158
RBPJP2	RBPJ pseudogene 2		3517	ENSG00000237086
MOGAT3	monoacylglycerol O-acyltransferase 3	DGAT2L7, DC7	346606	ENSG00000106384
CTBP2	C-terminal binding protein 2	ribeye	1488	ENSG00000175029
SH2D7	SH2 domain containing 7	LOC646892	646892	ENSG00000183476
EEF1A1P27	eukaryotic translation elongation factor 1 alpha 1 pseudogene 27		100130234	ENSG00000179460
NOBOX	NOBOX oogenesis homeobox	OG2, Og2x	135935	ENSG00000106410
RPL30P11	ribosomal protein L30 pseudogene 11		100271303	
DEDD2	death effector domain containing 2	FLAME-3	162989	ENSG00000160570
GBAS	glioblastoma amplified sequence	NIPSNAP2	2631	ENSG00000146729
NLGN4X	neuroligin 4, X-linked	KIAA1260, NLGN, HLNX	57502	ENSG00000146938
MIR4644	microRNA 4644	hsa-mir-4644	100616430	
SPRY4	sprouty homolog 4 (Drosophila)		81848	ENSG00000187678
DDX11L13	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 like 13			
CCL3L1	chemokine (C-C motif) ligand 3-like 1	G0S19-2, LD78BETA	6349	ENSG00000205021
OR2W1	olfactory receptor, family 2, subfamily W, member 1	hs6M1-15	26692	
FCF1	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)	CGI-35, Bka, UTP24	51077	ENSG00000119616
CLDN8	claudin 8		9073	ENSG00000156284
FOXI1	forkhead box I1	FREAC6	2299	ENSG00000168269
C6orf141	chromosome 6 open reading frame 141	MGC46457	135398	ENSG00000197261
ABI3	ABI family, member 3	NESH, SSH3BP3	51225	ENSG00000108798
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	CDK4I, p16, INK4a, MTS1, CMM2, ARF, p19, p14, INK4, p16INK4a, p19Arf	1029	ENSG00000147889
EEF1A1P22	eukaryotic translation elongation factor 1 alpha 1 pseudogene 22		645693	
ING1	inhibitor of growth family, member 1	p33ING1, p33ING1b, p24ING1c, p33, p47, p47ING1a	3621	ENSG00000153487
BAD	BCL2-associated agonist of cell death	BCL2L8, BBC2	572	ENSG00000002330
PTRH2	peptidyl-tRNA hydrolase 2	BIT1, CGI-147, PTH2	51651	ENSG00000141378
HOXB@	homeobox B cluster		3210	
TBC1D3H	TBC1 domain family, member 3H		729877	ENSG00000242384
TRNAV33P	transfer RNA valine 33 (anticodon CAC) pseudogene		100189477	
KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	Kv11.1, HERG, erg1	3757	ENSG00000055118
GTF2IRD2B	GTF2I repeat domain containing 2B		389524	ENSG00000174428
TRBV7-6	T cell receptor beta variable 7-6	TRBV76, TCRBV6S3A1N1T, TCRBV7S6	28592	ENSG00000211727
OBSCN-IT1	OBSCN intronic transcript 1 (non-protein coding)			ENSG00000233181
PIK3CG	phosphoinositide-3-kinase, catalytic, gamma polypeptide		5294	ENSG00000105851
MAEA	macrophage erythroblast attacher	EMP	10296	ENSG00000090316
ANKRD30BL	ankyrin repeat domain 30B-like		554226	ENSG00000163046
PCDHGA1	protocadherin gamma subfamily A, 1	PCDH-GAMMA-A1	56114	ENSG00000204956
MEHMO	mental retardation, epileptic seizures, hypogonadism and -genitalism, microcephaly and obesity syndrome		8422	
FAM171B	family with sequence similarity 171, member B	FLJ34104	165215	ENSG00000144369
RNASE3	ribonuclease, RNase A family, 3	ECP	6037	ENSG00000169397
FAM90A24P	family with sequence similarity 90, member A24, pseudogene		441332	ENSG00000215354
MIR3650	microRNA 3650	hsa-mir-3650	100500824	
NPM1P4	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 4	NG4-5	100128903	ENSG00000226703
DPRXP6	divergent-paired related homeobox pseudogene 6		503647	
EP400	E1A binding protein p400	CAGH32, KIAA1498, P400, KIAA1818, DKFZP434I225	57634	ENSG00000183495
MIR124-3	microRNA 124-3	hsa-mir-124a-3, hsa-mir-124-3	406909	ENSG00000207598
LGALS16	lectin, galactoside-binding, soluble, 16		148003	ENSG00000249861
AGTR2	angiotensin II receptor, type 2	AT2, MRX88	186	ENSG00000180772
IGHA1	immunoglobulin heavy constant alpha 1		3493	ENSG00000211895
APAF1	apoptotic peptidase activating factor 1	CED4, APAF-1	317	ENSG00000120868
CR1	complement component (3b/4b) receptor 1 (Knops blood group)	CD35, KN	1378	ENSG00000203710
MYP7	myopia 7		553190	
MARK4	MAP/microtubule affinity-regulating kinase 4	Nbla00650, FLJ90097, KIAA1860	57787	ENSG00000007047
AKIRIN2	akirin 2	FLJ10342, dJ486L4.2	55122	ENSG00000135334
C11orf89	chromosome 11 open reading frame 89	LOC728008	728008	ENSG00000184682
DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	P58, P58IPK, HP58	5611	ENSG00000102580
SUGT1P1	suppressor of G2 allele of SKP1 (S. cerevisiae) pseudogene 1	bA255A11.1, SGT1P, MGC15151	441394	
OCLN	occludin		100506658	ENSG00000197822
PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	IFI5111, PA28alpha	5720	ENSG00000092010
SETP13	SET pseudogene 13			
ABHD16B	abhydrolase domain containing 16B	dJ591C20.1	140701	ENSG00000183260
MUSK	muscle, skeletal, receptor tyrosine kinase		4593	ENSG00000030304
SESN3	sestrin 3	SEST3, MGC29667	143686	ENSG00000149212
C6orf47-AS1	C6orf47 antisense RNA 1 (non-protein coding)			
